paperless_billing,internet_service,online_security,premium_tech_support,unlimited_data,age_bins,family_size_bins,number_of_referrals_bins,contract,offer,payment_method,internet_type,total_of_services_add,tenure_in_months_bins,monthly_charge,churn_value
No,Yes,No,Yes,No,2,1,0,Month-to-Month,None,Bank Withdrawal,DSL,2,0,40.1,1
No,No,No,No,No,2,0,0,One Year,Offer B,Bank Withdrawal,None,1,3,19.95,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,2,79.85,1
No,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,69.7,1
No,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,85.8,1
No,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,78.9,0
Yes,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,78.75,1
Yes,Yes,Yes,Yes,No,0,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,116.45,0
No,No,No,No,No,1,1,0,Two Year,None,Credit Card,None,1,3,20.15,0
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,114.9,0
Yes,Yes,Yes,No,Yes,3,1,1,Two Year,None,Credit Card,Fiber Optic,6,4,103.25,0
No,Yes,No,No,No,2,0,0,Month-to-Month,None,Bank Withdrawal,Cable,2,0,71.35,1
Yes,Yes,Yes,Yes,Yes,2,0,2,Two Year,Offer B,Credit Card,DSL,7,4,85.0,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,95.05,1
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,6,3,106.4,0
Yes,Yes,No,No,Yes,2,1,2,Month-to-Month,None,Bank Withdrawal,DSL,4,2,49.6,0
No,No,No,No,No,2,1,0,Two Year,Offer B,Bank Withdrawal,None,1,3,19.55,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,93.3,1
No,Yes,Yes,No,No,0,0,2,One Year,None,Credit Card,DSL,3,3,59.45,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,0,80.45,0
No,Yes,Yes,Yes,Yes,3,0,0,One Year,Offer B,Bank Withdrawal,DSL,7,3,77.4,0
No,Yes,Yes,Yes,Yes,1,0,3,Two Year,None,Bank Withdrawal,Cable,5,4,60.95,0
No,No,No,No,No,3,0,0,Two Year,Offer D,Credit Card,None,2,2,25.25,0
Yes,No,No,No,No,1,0,0,Month-to-Month,Offer D,Credit Card,None,1,2,19.95,0
Yes,Yes,Yes,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,80.1,0
No,Yes,Yes,Yes,Yes,3,0,3,One Year,None,Mailed Check,Cable,7,3,65.5,0
Yes,Yes,No,No,Yes,0,0,2,Month-to-Month,None,Credit Card,DSL,4,2,59.8,0
Yes,Yes,No,No,Yes,4,0,3,Month-to-Month,None,Bank Withdrawal,DSL,3,0,30.75,0
No,Yes,Yes,Yes,Yes,0,0,3,Two Year,Offer A,Credit Card,Fiber Optic,8,4,114.3,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,0,99.75,1
Yes,Yes,No,No,Yes,3,0,2,Month-to-Month,Offer B,Credit Card,Fiber Optic,6,3,103.65,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer D,Mailed Check,Fiber Optic,4,2,75.0,1
Yes,No,No,No,No,2,0,0,Month-to-Month,None,Credit Card,None,1,0,20.7,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,84.65,1
Yes,Yes,Yes,No,Yes,0,0,2,One Year,Offer A,Credit Card,Fiber Optic,7,4,108.15,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,2,0,24.4,0
Yes,No,No,No,No,3,0,0,Month-to-Month,None,Mailed Check,None,1,0,18.85,1
Yes,Yes,No,No,Yes,4,0,3,One Year,Offer B,Bank Withdrawal,Fiber Optic,5,3,100.55,0
Yes,Yes,No,Yes,Yes,0,0,3,Two Year,Offer A,Credit Card,DSL,6,4,79.1,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,95.15,1
No,Yes,Yes,Yes,Yes,1,0,2,Two Year,Offer B,Credit Card,DSL,7,4,75.7,0
Yes,Yes,Yes,No,Yes,1,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,7,3,112.95,1
Yes,No,No,No,No,0,0,0,One Year,Offer D,Credit Card,None,1,1,19.3,0
No,No,No,No,No,0,0,0,One Year,None,Bank Withdrawal,None,2,3,24.35,0
Yes,No,No,No,No,2,0,0,Month-to-Month,None,Credit Card,None,1,3,19.55,1
Yes,Yes,No,No,No,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Cable,1,0,44.55,1
No,Yes,No,Yes,No,1,2,3,Two Year,Offer A,Bank Withdrawal,Cable,2,4,50.55,0
Yes,Yes,No,No,Yes,2,2,3,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,1,54.4,0
Yes,Yes,Yes,Yes,No,2,1,2,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,116.05,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,80.95,1
No,No,No,No,No,0,0,0,Month-to-Month,None,Credit Card,None,1,0,20.05,0
No,No,No,No,No,1,1,3,Month-to-Month,None,Credit Card,None,1,3,20.65,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,88.7,1
Yes,Yes,Yes,No,No,3,0,0,Month-to-Month,None,Credit Card,DSL,2,0,29.15,0
No,Yes,No,No,Yes,1,1,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,1,55.35,1
No,Yes,Yes,Yes,Yes,0,1,0,Two Year,None,Credit Card,Fiber Optic,7,4,100.2,0
Yes,No,No,No,No,1,1,1,Month-to-Month,None,Bank Withdrawal,None,1,1,19.2,0
Yes,Yes,No,Yes,Yes,0,0,3,Two Year,None,Bank Withdrawal,Fiber Optic,7,4,108.2,0
Yes,Yes,No,No,Yes,4,0,0,One Year,None,Bank Withdrawal,DSL,4,2,60.0,0
No,No,No,No,No,1,0,2,One Year,None,Credit Card,None,1,2,18.8,0
Yes,Yes,No,Yes,Yes,1,0,0,Month-to-Month,Offer D,Bank Withdrawal,Cable,5,2,89.95,1
No,No,No,No,No,0,0,0,Two Year,None,Bank Withdrawal,None,1,3,20.45,0
Yes,Yes,Yes,Yes,Yes,0,1,0,Two Year,Offer B,Credit Card,DSL,7,3,65.65,0
Yes,Yes,Yes,Yes,Yes,4,0,3,One Year,Offer A,Bank Withdrawal,Cable,6,4,60.95,0
Yes,Yes,No,Yes,Yes,2,0,0,Month-to-Month,Offer E,Mailed Check,DSL,4,0,36.85,1
Yes,No,No,No,No,0,0,0,Month-to-Month,None,Credit Card,None,1,1,20.9,0
Yes,Yes,No,No,Yes,3,1,3,Month-to-Month,None,Credit Card,Fiber Optic,4,3,84.05,0
No,No,No,No,No,3,0,0,Two Year,Offer A,Credit Card,None,2,4,25.6,0
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Credit Card,DSL,6,4,69.2,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Cable,3,0,44.15,0
Yes,Yes,No,No,Yes,4,0,3,Two Year,None,Bank Withdrawal,Fiber Optic,4,3,74.0,0
Yes,Yes,Yes,Yes,Yes,4,0,3,One Year,None,Bank Withdrawal,DSL,6,4,71.0,0
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,7,3,109.65,1
Yes,Yes,Yes,Yes,Yes,4,0,2,Two Year,Offer D,Credit Card,DSL,7,2,63.55,0
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,1,74.5,1
No,Yes,No,No,Yes,0,0,0,One Year,Offer A,Bank Withdrawal,Fiber Optic,5,4,98.9,0
No,No,No,No,No,2,2,0,Two Year,Offer D,Credit Card,None,1,2,20.15,0
No,Yes,Yes,Yes,Yes,2,1,2,Two Year,Offer B,Credit Card,Cable,8,3,90.3,0
No,Yes,Yes,Yes,No,3,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,4,102.0,1
No,Yes,Yes,Yes,No,3,0,0,Two Year,None,Credit Card,DSL,4,3,39.1,0
No,Yes,Yes,Yes,Yes,2,0,3,One Year,None,Credit Card,DSL,6,3,70.5,0
Yes,No,No,No,No,2,0,0,Two Year,Offer A,Bank Withdrawal,None,1,4,20.9,0
No,No,No,No,No,0,0,0,One Year,None,Bank Withdrawal,None,1,4,20.55,0
Yes,Yes,Yes,Yes,Yes,3,2,0,Two Year,None,Bank Withdrawal,Fiber Optic,7,4,109.05,0
Yes,Yes,No,Yes,Yes,3,0,0,Two Year,Offer B,Bank Withdrawal,Fiber Optic,6,4,94.35,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,80.4,1
Yes,No,No,No,No,3,0,0,Two Year,Offer B,Credit Card,None,2,4,25.0,0
Yes,No,No,No,No,2,2,2,Two Year,Offer B,Mailed Check,None,2,4,24.05,0
Yes,Yes,Yes,No,Yes,1,1,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,96.75,1
No,Yes,No,Yes,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,91.7,1
No,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,2,70.45,0
No,No,No,No,No,2,1,2,Two Year,Offer B,Mailed Check,None,1,4,19.55,0
Yes,Yes,No,No,Yes,0,0,3,One Year,None,Credit Card,DSL,2,3,25.25,0
Yes,Yes,No,Yes,Yes,3,0,3,Two Year,None,Bank Withdrawal,Fiber Optic,7,4,109.25,0
Yes,Yes,No,No,No,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,2,0,80.5,1
Yes,Yes,No,Yes,No,0,0,0,One Year,Offer A,Bank Withdrawal,Fiber Optic,6,4,109.5,1
No,No,No,No,No,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,None,1,0,19.45,0
No,Yes,Yes,No,Yes,3,1,0,One Year,Offer B,Credit Card,DSL,4,3,34.8,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,3,3,89.7,0
No,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,2,83.2,0
No,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Credit Card,DSL,5,3,65.1,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Credit Card,DSL,3,0,44.0,0
No,No,No,No,No,3,1,2,Two Year,None,Credit Card,None,1,3,19.7,0
No,Yes,No,No,Yes,2,1,0,Month-to-Month,None,Credit Card,Fiber Optic,3,0,69.95,0
No,No,No,No,No,2,1,0,Two Year,Offer A,Bank Withdrawal,None,1,4,19.95,0
No,No,No,No,No,1,1,3,One Year,None,Credit Card,None,1,2,19.8,0
Yes,Yes,No,Yes,No,0,0,3,One Year,None,Bank Withdrawal,DSL,4,4,51.05,0
No,No,No,No,No,2,0,0,Month-to-Month,None,Mailed Check,None,1,3,19.85,0
No,Yes,Yes,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,4,0,49.35,1
No,No,No,No,No,2,2,1,One Year,Offer D,Credit Card,None,1,2,19.9,0
Yes,Yes,Yes,Yes,No,0,0,0,One Year,Offer C,Credit Card,Cable,6,3,85.95,1
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,89.35,1
No,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,DSL,4,2,49.4,1
Yes,Yes,No,Yes,Yes,1,1,1,One Year,None,Bank Withdrawal,Fiber Optic,6,3,105.05,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,0,74.1,1
No,Yes,No,No,Yes,3,1,0,Month-to-Month,None,Bank Withdrawal,DSL,2,0,24.75,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,DSL,3,2,31.65,0
Yes,Yes,No,No,No,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,1,72.85,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,3,76.0,0
Yes,Yes,No,Yes,Yes,1,2,1,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,96.65,0
No,No,No,No,No,1,1,3,Two Year,None,Bank Withdrawal,None,1,4,20.1,0
No,No,No,No,No,3,0,3,Two Year,Offer A,Bank Withdrawal,None,2,4,24.25,0
Yes,Yes,Yes,Yes,Yes,2,0,3,Two Year,None,Credit Card,DSL,7,4,84.7,0
Yes,Yes,Yes,Yes,Yes,2,0,3,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,90.35,0
No,No,No,No,No,1,0,3,Two Year,None,Credit Card,None,2,4,25.55,0
No,No,No,No,No,1,0,0,Month-to-Month,None,Bank Withdrawal,None,1,1,20.3,0
Yes,Yes,No,No,Yes,2,0,0,One Year,None,Mailed Check,DSL,5,2,55.85,1
Yes,Yes,No,Yes,Yes,4,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,7,3,111.95,1
No,Yes,Yes,Yes,No,2,2,0,Two Year,None,Bank Withdrawal,Fiber Optic,7,4,114.55,0
No,Yes,No,No,Yes,2,2,3,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,4,3,74.35,0
Yes,Yes,Yes,Yes,Yes,1,0,0,Two Year,Offer B,Bank Withdrawal,DSL,5,3,60.75,0
No,Yes,No,No,Yes,1,0,0,One Year,Offer C,Bank Withdrawal,Fiber Optic,5,3,100.2,0
Yes,Yes,No,No,Yes,3,0,1,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,95.6,1
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,Offer B,Credit Card,Fiber Optic,7,4,108.5,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,2,2,23.9,1
No,Yes,Yes,No,Yes,1,1,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,3,95.95,0
Yes,Yes,No,No,Yes,0,0,1,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,79.35,1
No,Yes,Yes,No,No,0,1,0,One Year,Offer C,Credit Card,DSL,4,3,56.2,0
Yes,Yes,No,No,No,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,85.65,1
No,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,81.0,0
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,1,89.75,1
No,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,3,1,70.05,0
Yes,Yes,No,Yes,Yes,4,0,3,One Year,Offer D,Bank Withdrawal,Fiber Optic,4,1,82.9,0
No,No,No,No,No,3,0,0,Two Year,Offer A,Bank Withdrawal,None,2,4,25.0,0
Yes,Yes,No,No,Yes,1,1,0,One Year,Offer D,Credit Card,DSL,5,1,65.9,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,75.0,0
Yes,Yes,No,Yes,No,3,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,4,2,89.65,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,45.1,1
Yes,No,No,No,No,4,0,2,Two Year,None,Mailed Check,None,1,3,18.95,0
Yes,Yes,Yes,Yes,Yes,4,0,2,One Year,None,Credit Card,Fiber Optic,8,4,105.4,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer C,Credit Card,Fiber Optic,4,3,85.95,1
No,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Cable,5,3,55.65,0
No,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer E,Bank Withdrawal,Cable,2,0,25.05,1
No,Yes,No,No,Yes,4,0,0,One Year,None,Credit Card,Fiber Optic,4,3,95.25,1
No,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Mailed Check,Fiber Optic,4,3,77.9,0
No,No,No,No,No,0,1,2,One Year,Offer C,Credit Card,None,2,3,24.15,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,1,66.85,0
No,Yes,No,Yes,Yes,3,0,0,Two Year,None,Bank Withdrawal,DSL,7,4,84.5,0
Yes,Yes,Yes,No,Yes,0,0,0,Month-to-Month,Offer C,Credit Card,Fiber Optic,6,3,86.65,0
No,No,No,No,No,3,0,0,Month-to-Month,None,Credit Card,None,1,0,20.05,0
Yes,Yes,No,No,Yes,2,0,3,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,2,78.1,0
Yes,Yes,Yes,Yes,Yes,3,0,2,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,116.0,0
No,Yes,No,No,Yes,2,0,2,One Year,Offer B,Bank Withdrawal,DSL,5,3,54.9,0
Yes,No,No,No,No,3,0,0,One Year,None,Credit Card,None,1,2,20.05,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,6,3,83.25,0
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,DSL,5,2,64.7,1
No,Yes,No,Yes,No,1,0,0,One Year,None,Bank Withdrawal,DSL,4,3,55.45,0
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,96.5,1
Yes,Yes,No,No,Yes,0,2,3,Month-to-Month,None,Credit Card,DSL,4,4,70.45,0
Yes,Yes,No,No,No,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,2,2,71.1,0
Yes,Yes,No,No,No,0,0,3,Two Year,Offer C,Credit Card,DSL,4,3,73.5,0
Yes,Yes,No,Yes,Yes,3,0,0,Two Year,Offer C,Bank Withdrawal,DSL,4,3,49.8,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,94.6,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,94.3,1
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,118.65,0
Yes,Yes,No,No,Yes,3,2,2,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,81.2,0
No,No,No,No,No,1,0,0,One Year,None,Credit Card,None,2,4,26.05,0
Yes,Yes,No,No,No,4,0,2,Month-to-Month,None,Credit Card,Fiber Optic,3,0,86.85,1
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer E,Credit Card,Cable,4,0,50.7,0
Yes,Yes,Yes,Yes,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,7,2,108.2,0
No,Yes,No,Yes,Yes,4,0,0,Two Year,None,Mailed Check,DSL,4,1,49.2,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer E,Mailed Check,Fiber Optic,3,0,71.55,1
Yes,Yes,Yes,Yes,Yes,1,0,2,Two Year,Offer A,Credit Card,DSL,8,4,92.2,0
No,Yes,Yes,No,Yes,3,2,2,Two Year,Offer A,Bank Withdrawal,Fiber Optic,6,4,105.55,0
Yes,No,No,No,No,3,1,0,Two Year,Offer A,Credit Card,None,2,4,25.3,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,0,83.55,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Credit Card,DSL,3,1,29.25,0
No,No,No,No,No,0,0,0,Two Year,None,Credit Card,None,1,3,20.35,0
Yes,Yes,No,No,Yes,1,1,0,One Year,None,Bank Withdrawal,Fiber Optic,4,4,74.25,0
No,Yes,No,Yes,Yes,2,0,0,Month-to-Month,Offer D,Bank Withdrawal,Cable,5,1,90.15,1
No,Yes,Yes,No,No,0,2,3,Two Year,None,Credit Card,Fiber Optic,6,4,109.55,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer B,Bank Withdrawal,Cable,3,3,50.8,1
Yes,Yes,Yes,No,Yes,0,0,3,One Year,Offer B,Credit Card,Cable,7,3,78.35,0
No,No,No,No,No,0,1,0,Two Year,None,Bank Withdrawal,None,1,4,20.35,0
Yes,No,No,No,No,2,0,0,One Year,Offer C,Credit Card,None,1,3,20.25,0
No,No,No,No,No,0,0,0,Two Year,None,Credit Card,None,1,3,20.7,0
Yes,Yes,Yes,No,Yes,0,1,3,Month-to-Month,None,Bank Withdrawal,DSL,7,4,67.45,0
No,No,No,No,No,2,1,3,Two Year,None,Bank Withdrawal,None,2,4,25.4,0
Yes,Yes,No,No,Yes,0,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,4,101.75,0
Yes,Yes,No,No,No,2,2,0,Month-to-Month,Offer D,Credit Card,Cable,1,2,35.5,0
Yes,Yes,No,No,Yes,3,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,5,3,91.3,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,99.05,1
Yes,No,No,No,No,1,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,20.2,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,67.75,1
No,Yes,Yes,No,Yes,0,0,2,One Year,Offer B,Bank Withdrawal,Fiber Optic,7,4,89.45,0
No,Yes,Yes,Yes,No,0,0,0,One Year,None,Bank Withdrawal,Cable,6,3,85.85,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,85.0,1
No,No,No,No,No,0,0,0,Two Year,Offer A,Credit Card,None,2,4,26.45,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,84.3,0
Yes,Yes,No,Yes,Yes,1,0,0,One Year,Offer C,Credit Card,DSL,5,3,54.75,0
No,Yes,Yes,No,Yes,2,0,0,Two Year,None,Bank Withdrawal,DSL,5,3,52.85,0
No,Yes,No,No,Yes,1,0,2,One Year,None,Credit Card,DSL,6,3,78.75,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,81.1,1
Yes,Yes,No,Yes,No,3,0,0,One Year,Offer B,Bank Withdrawal,Cable,6,3,85.25,0
Yes,Yes,Yes,No,Yes,4,0,3,One Year,None,Credit Card,Fiber Optic,6,4,107.05,0
Yes,Yes,No,No,Yes,0,1,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,5,2,79.95,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,79.6,1
Yes,Yes,Yes,Yes,Yes,0,0,0,Two Year,Offer A,Credit Card,Fiber Optic,8,4,112.75,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,6,3,106.35,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Mailed Check,Cable,5,0,56.15,1
No,Yes,Yes,Yes,Yes,1,1,0,Two Year,Offer C,Bank Withdrawal,Cable,4,3,35.05,0
No,No,No,No,No,4,0,0,Month-to-Month,None,Mailed Check,None,1,1,19.95,1
Yes,Yes,Yes,No,Yes,0,0,0,Month-to-Month,Offer E,Credit Card,Cable,4,0,48.6,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,Cable,2,2,35.1,1
No,Yes,No,No,Yes,4,0,0,Two Year,Offer D,Bank Withdrawal,Fiber Optic,3,2,69.65,0
No,Yes,Yes,Yes,Yes,2,0,3,Two Year,Offer B,Bank Withdrawal,Cable,6,3,59.85,0
No,No,No,No,No,3,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,20.9,1
Yes,Yes,No,Yes,Yes,1,0,0,Month-to-Month,Offer C,Bank Withdrawal,DSL,5,3,53.8,0
No,Yes,No,Yes,No,0,0,0,One Year,None,Bank Withdrawal,DSL,5,2,80.85,0
Yes,Yes,No,Yes,Yes,1,0,0,Two Year,None,Credit Card,Fiber Optic,5,3,100.2,0
Yes,Yes,No,No,Yes,3,2,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,88.75,0
No,No,No,No,No,3,2,0,Two Year,Offer B,Credit Card,None,1,3,20.5,0
No,No,No,No,No,4,0,0,Two Year,None,Credit Card,None,1,4,20.3,0
Yes,Yes,No,Yes,Yes,2,2,0,Month-to-Month,None,Credit Card,DSL,6,3,61.9,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,1,79.9,1
No,Yes,Yes,Yes,Yes,0,0,3,One Year,None,Bank Withdrawal,Fiber Optic,8,4,115.8,0
No,No,No,No,No,3,1,2,Two Year,None,Credit Card,None,2,3,24.25,0
Yes,Yes,No,No,Yes,1,0,3,One Year,Offer B,Bank Withdrawal,Cable,4,3,94.4,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,1,69.55,0
Yes,Yes,Yes,No,Yes,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,6,2,104.4,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,DSL,3,0,44.15,1
No,No,No,No,No,0,0,0,One Year,Offer E,Credit Card,None,1,0,20.6,0
Yes,No,No,No,No,1,1,0,Month-to-Month,Offer E,Bank Withdrawal,None,2,0,25.9,1
Yes,No,No,No,No,2,0,0,Two Year,None,Credit Card,None,1,4,19.9,0
No,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Credit Card,DSL,3,0,55.15,1
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer D,Credit Card,DSL,6,2,60.6,0
No,Yes,Yes,Yes,Yes,3,2,3,Two Year,None,Credit Card,Cable,7,4,66.75,0
No,No,No,No,No,2,0,0,Month-to-Month,None,Credit Card,None,1,1,19.7,0
No,Yes,Yes,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,1,76.4,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,6,3,103.0,1
Yes,Yes,Yes,No,Yes,3,1,3,Two Year,Offer A,Bank Withdrawal,DSL,4,4,59.75,0
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,39.5,1
No,Yes,No,No,Yes,4,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,3,104.75,0
No,Yes,Yes,No,Yes,0,1,3,Month-to-Month,None,Bank Withdrawal,DSL,4,3,35.05,0
