online_security,paperless_billing,contract,internet_type,offer,payment_method,age_bins,family_size_bins,number_of_referrals_bins,tenure_in_months_bins,total_of_services_add,monthly_charge,churn_value
Yes,No,Month-to-Month,DSL,Offer E,Bank Withdrawal,2,1,0,0,4,49.35,1
No,No,One Year,None,Offer D,Credit Card,2,3,2,2,1,19.9,0
Yes,Yes,One Year,Cable,Offer C,Credit Card,0,0,0,3,6,85.95,1
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,1,0,0,0,5,89.35,1
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,1,0,0,2,4,49.4,1
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,2,2,5,6,105.05,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,3,1,1,0,4,74.1,1
No,No,Month-to-Month,DSL,None,Bank Withdrawal,3,2,0,0,2,24.75,1
No,Yes,Month-to-Month,DSL,Offer D,Bank Withdrawal,0,0,0,2,3,31.65,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,1,3,72.85,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,3,4,76.0,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,3,2,5,6,96.65,0
No,No,Two Year,None,None,Bank Withdrawal,1,2,3,6,1,20.1,0
No,No,Two Year,None,Offer A,Bank Withdrawal,3,1,3,6,2,24.25,0
Yes,Yes,Two Year,DSL,None,Credit Card,2,1,3,6,7,84.7,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,2,1,3,6,7,90.35,0
No,No,Two Year,None,None,Credit Card,2,1,3,6,2,25.55,0
No,No,Month-to-Month,None,None,Bank Withdrawal,2,0,0,1,1,20.3,0
No,Yes,One Year,DSL,None,Mailed Check,3,0,0,2,5,55.85,1
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,4,0,0,5,7,111.95,1
Yes,No,Two Year,Fiber Optic,None,Bank Withdrawal,2,3,1,6,7,114.55,0
No,No,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,3,3,3,6,4,74.35,0
Yes,Yes,Two Year,DSL,Offer B,Bank Withdrawal,1,0,0,4,5,60.75,0
No,No,One Year,Fiber Optic,Offer C,Bank Withdrawal,1,0,0,3,5,100.2,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,2,5,4,95.6,1
Yes,Yes,One Year,Fiber Optic,Offer B,Credit Card,0,1,1,6,7,108.5,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,1,0,0,2,2,23.9,1
Yes,No,One Year,Fiber Optic,Offer B,Bank Withdrawal,1,2,0,5,6,95.95,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,1,1,2,0,3,79.35,1
Yes,No,One Year,DSL,Offer C,Credit Card,0,2,0,3,4,56.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,0,0,0,3,85.65,1
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,5,4,81.0,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,1,1,5,89.75,1
No,No,Month-to-Month,Fiber Optic,None,Credit Card,2,0,0,1,3,70.05,0
No,Yes,One Year,Fiber Optic,Offer D,Bank Withdrawal,4,1,3,1,4,82.9,0
No,No,Two Year,None,Offer A,Bank Withdrawal,3,1,1,6,2,25.0,0
No,Yes,One Year,DSL,Offer D,Credit Card,1,2,1,1,5,65.9,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,2,4,75.0,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,3,1,1,2,4,89.65,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,0,0,0,0,3,45.1,1
No,Yes,Two Year,None,None,Mailed Check,4,1,2,5,1,18.95,0
Yes,Yes,One Year,Fiber Optic,None,Credit Card,4,1,2,6,8,105.4,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,4,1,0,3,4,85.95,1
No,No,Month-to-Month,Cable,None,Bank Withdrawal,4,0,0,4,5,55.65,0
No,No,Month-to-Month,Cable,Offer E,Bank Withdrawal,4,1,1,0,2,25.05,1
No,No,One Year,Fiber Optic,None,Credit Card,4,0,0,4,4,95.25,1
No,No,Month-to-Month,Fiber Optic,None,Mailed Check,4,1,1,3,4,77.9,0
No,No,One Year,None,Offer C,Credit Card,0,2,2,3,2,24.15,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,1,0,0,1,3,66.85,0
No,No,Two Year,DSL,None,Bank Withdrawal,3,0,0,6,7,84.5,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,0,0,0,3,6,86.65,0
No,No,Month-to-Month,None,None,Credit Card,3,0,0,0,1,20.05,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,3,2,3,78.1,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,1,2,6,8,116.0,0
No,No,One Year,DSL,Offer B,Bank Withdrawal,2,1,2,5,5,54.9,0
No,Yes,One Year,None,None,Credit Card,4,0,0,2,1,20.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,2,0,0,5,6,83.25,0
Yes,Yes,Month-to-Month,DSL,Offer D,Bank Withdrawal,3,1,1,2,5,64.7,1
No,No,One Year,DSL,None,Bank Withdrawal,1,0,0,4,4,55.45,0
No,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,0,0,0,4,96.5,1
No,Yes,Month-to-Month,DSL,None,Credit Card,0,3,3,6,4,70.45,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,0,0,0,2,2,71.1,0
No,Yes,Two Year,DSL,Offer C,Credit Card,0,1,3,3,4,73.5,0
No,Yes,Two Year,DSL,Offer C,Bank Withdrawal,3,0,0,4,4,49.8,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,3,4,94.6,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,0,4,94.3,1
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,0,0,6,8,118.65,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,3,2,4,5,81.2,0
No,No,One Year,None,None,Credit Card,1,0,0,6,2,26.05,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,1,2,0,3,86.85,1
Yes,Yes,Month-to-Month,Cable,Offer E,Credit Card,3,0,0,0,4,50.7,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,2,7,108.2,0
No,No,Two Year,DSL,None,Mailed Check,4,0,0,1,4,49.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Mailed Check,2,0,0,0,3,71.55,1
Yes,Yes,Two Year,DSL,Offer A,Credit Card,1,1,2,6,8,92.2,0
Yes,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,3,2,6,6,105.55,0
No,Yes,Two Year,None,Offer A,Credit Card,3,2,0,6,2,25.3,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,2,1,1,1,4,83.55,1
No,Yes,Month-to-Month,DSL,None,Credit Card,3,0,0,1,3,29.25,0
No,No,Two Year,None,None,Credit Card,0,0,0,3,1,20.35,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,2,1,6,4,74.25,0
No,No,Month-to-Month,Cable,Offer D,Bank Withdrawal,2,0,0,1,5,90.15,1
Yes,No,Two Year,Fiber Optic,None,Credit Card,0,3,3,6,6,109.55,0
No,Yes,Month-to-Month,Cable,Offer B,Bank Withdrawal,3,0,0,6,3,50.8,1
Yes,Yes,One Year,Cable,Offer B,Credit Card,0,1,3,4,7,78.35,0
No,No,Two Year,None,None,Bank Withdrawal,0,2,1,6,1,20.35,0
No,Yes,One Year,None,Offer C,Credit Card,2,1,1,4,1,20.25,0
No,No,Two Year,None,None,Credit Card,0,0,0,4,1,20.7,0
Yes,Yes,Month-to-Month,DSL,None,Bank Withdrawal,0,2,3,6,7,67.45,0
No,No,Two Year,None,None,Bank Withdrawal,3,2,3,6,2,25.4,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,1,0,6,5,101.75,0
No,Yes,Month-to-Month,Cable,Offer D,Credit Card,2,3,1,2,1,35.5,0
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,4,0,0,4,5,91.3,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,1,3,5,99.05,1
No,Yes,Month-to-Month,None,Offer E,Credit Card,1,0,0,0,1,20.2,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,3,67.75,1
Yes,No,One Year,Fiber Optic,Offer B,Bank Withdrawal,1,1,3,6,7,89.45,0
Yes,No,One Year,Cable,None,Bank Withdrawal,0,0,0,4,6,85.85,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,0,0,0,4,85.0,1
No,No,Two Year,None,Offer A,Credit Card,0,1,1,6,2,26.45,0
No,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,2,0,0,0,4,84.3,0
No,Yes,One Year,DSL,Offer C,Credit Card,1,1,0,3,5,54.75,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,2,0,0,3,5,52.85,0
No,No,One Year,DSL,None,Credit Card,1,1,2,4,6,78.75,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,3,81.1,1
No,Yes,One Year,Cable,Offer B,Bank Withdrawal,3,0,0,4,6,85.25,0
Yes,Yes,One Year,Fiber Optic,None,Credit Card,4,1,3,6,6,107.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,1,2,1,2,5,79.95,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,0,3,79.6,1
Yes,Yes,Two Year,Fiber Optic,Offer A,Credit Card,1,0,0,6,8,112.75,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,3,1,0,3,6,106.35,1
No,Yes,Month-to-Month,Cable,Offer E,Mailed Check,0,1,1,0,5,56.15,1
Yes,No,Two Year,Cable,Offer C,Bank Withdrawal,1,2,0,3,4,35.05,0
No,No,Month-to-Month,None,None,Mailed Check,4,1,1,1,1,19.95,1
Yes,Yes,Month-to-Month,Cable,Offer E,Credit Card,0,0,0,0,4,48.6,1
No,Yes,Month-to-Month,Cable,Offer D,Bank Withdrawal,0,0,0,2,2,35.1,1
No,No,Two Year,Fiber Optic,Offer D,Bank Withdrawal,4,0,0,2,3,69.65,0
Yes,No,Two Year,Cable,Offer B,Bank Withdrawal,2,1,3,6,6,59.85,0
No,No,Month-to-Month,None,Offer E,Credit Card,3,0,0,0,1,20.9,1
No,Yes,Month-to-Month,DSL,Offer C,Bank Withdrawal,1,1,1,3,5,53.8,0
No,No,One Year,DSL,None,Bank Withdrawal,0,1,0,2,5,80.85,0
No,Yes,Two Year,Fiber Optic,None,Credit Card,1,0,0,5,5,100.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,3,1,2,5,88.75,0
No,No,Two Year,None,Offer B,Credit Card,3,3,1,5,1,20.5,0
No,No,Two Year,None,None,Credit Card,4,0,0,6,1,20.3,0
No,Yes,Month-to-Month,DSL,None,Credit Card,2,3,1,4,6,61.9,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,1,1,0,1,5,79.9,1
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,0,1,3,6,8,115.8,0
No,No,Two Year,None,None,Credit Card,3,2,2,4,2,24.25,0
No,Yes,One Year,Cable,Offer B,Bank Withdrawal,1,1,3,6,4,94.4,1
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,1,3,69.55,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,0,1,1,2,6,104.4,1
No,Yes,Month-to-Month,DSL,None,Credit Card,2,0,0,0,3,44.15,1
No,No,One Year,None,Offer E,Credit Card,0,0,0,1,1,20.6,0
No,Yes,Month-to-Month,None,Offer E,Bank Withdrawal,1,2,1,0,2,25.9,1
No,Yes,Two Year,None,None,Credit Card,2,0,0,6,1,19.9,0
No,No,Month-to-Month,DSL,Offer E,Credit Card,0,0,0,0,3,55.15,1
Yes,Yes,Month-to-Month,DSL,Offer D,Credit Card,3,0,0,2,6,60.6,0
Yes,No,Two Year,Cable,None,Credit Card,3,3,3,6,7,66.75,0
No,No,Month-to-Month,None,None,Credit Card,2,0,0,2,1,19.7,0
Yes,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,1,4,76.4,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,4,1,1,4,6,103.0,1
Yes,Yes,Two Year,DSL,Offer A,Bank Withdrawal,3,2,3,6,4,59.75,0
No,No,Month-to-Month,DSL,Offer E,Bank Withdrawal,3,0,0,0,3,39.5,1
No,No,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,5,6,104.75,0
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,0,2,3,4,4,35.05,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,3,0,0,5,6,87.1,0
Yes,No,Two Year,DSL,Offer B,Credit Card,0,3,3,5,5,59.75,0
Yes,No,Two Year,Cable,None,Bank Withdrawal,0,2,0,2,7,76.1,0
No,Yes,Two Year,DSL,Offer A,Credit Card,2,1,2,6,5,61.4,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,1,0,0,5,5,99.0,0
No,Yes,Month-to-Month,Cable,None,Mailed Check,0,0,0,0,3,45.3,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,2,1,3,79.75,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,2,5,80.45,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,2,4,84.75,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,3,0,0,0,3,45.15,1
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,6,6,95.45,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,1,1,1,5,102.0,1
No,Yes,Month-to-Month,None,Offer E,Credit Card,0,0,0,0,1,20.75,0
No,No,Month-to-Month,DSL,Offer E,Mailed Check,0,0,0,0,2,24.3,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,0,4,74.9,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,3,71.0,1
No,No,Month-to-Month,Cable,None,Credit Card,1,0,0,0,3,45.85,1
No,Yes,Month-to-Month,None,None,Credit Card,2,0,0,1,1,20.95,0
No,Yes,Two Year,None,None,Credit Card,2,1,2,5,1,20.05,0
No,Yes,One Year,Cable,None,Bank Withdrawal,2,2,3,5,6,68.75,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,2,1,1,3,6,104.95,1
Yes,Yes,Month-to-Month,Cable,Offer E,Bank Withdrawal,1,0,0,0,5,77.4,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,0,0,6,5,88.9,0
No,Yes,Month-to-Month,Cable,None,Credit Card,3,2,0,1,5,72.9,1
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,0,5,6,104.2,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,0,3,71.35,1
No,Yes,Two Year,Fiber Optic,None,Credit Card,3,2,3,6,4,95.2,0
Yes,Yes,Month-to-Month,Cable,None,Bank Withdrawal,0,0,0,3,8,78.35,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,1,1,2,5,100.95,1
Yes,No,One Year,Fiber Optic,None,Credit Card,3,0,0,5,7,98.6,0
No,Yes,Month-to-Month,None,None,Bank Withdrawal,2,2,2,1,1,20.45,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,2,3,5,5,79.15,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,1,4,85.35,1
No,No,One Year,DSL,Offer C,Credit Card,1,1,2,4,6,69.0,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,1,1,1,3,4,94.05,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,4,74.9,1
No,Yes,Two Year,Fiber Optic,Offer B,Credit Card,0,2,2,6,5,89.1,0
No,No,Two Year,None,Offer D,Credit Card,2,2,3,2,1,19.7,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,4,85.7,1
No,No,One Year,None,None,Bank Withdrawal,3,0,0,3,1,21.05,0
No,Yes,Two Year,Cable,None,Bank Withdrawal,1,1,3,5,6,72.1,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,4,1,3,3,6,104.3,1
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,3,4,90.7,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,3,1,1,4,6,109.55,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,3,0,4,74.65,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,2,0,0,1,5,66.65,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,0,0,2,5,89.75,1
Yes,No,One Year,DSL,None,Bank Withdrawal,3,3,2,4,7,74.05,0
Yes,Yes,Two Year,Cable,None,Mailed Check,0,1,2,6,7,74.35,0
No,Yes,Two Year,Cable,Offer B,Bank Withdrawal,2,2,3,6,6,79.4,0
No,No,Month-to-Month,Fiber Optic,None,Credit Card,2,1,3,3,5,88.65,0
No,No,Month-to-Month,None,Offer E,Credit Card,2,0,0,0,1,19.65,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,6,85.3,1
No,No,Month-to-Month,Fiber Optic,None,Mailed Check,2,0,0,0,3,71.1,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,0,0,6,7,109.9,0
No,Yes,One Year,Cable,None,Credit Card,0,0,0,3,3,40.35,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,1,3,85.05,1
No,No,Month-to-Month,None,None,Credit Card,2,0,0,3,1,19.35,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,2,0,0,0,3,79.15,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,0,1,2,4,4,93.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,2,5,81.15,1
No,No,One Year,None,Offer D,Mailed Check,1,1,2,2,1,19.35,0
Yes,No,Two Year,Fiber Optic,Offer A,Credit Card,2,1,3,6,7,109.7,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,2,0,0,6,7,111.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,2,1,5,6,93.25,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,1,1,6,8,116.05,0
Yes,Yes,Month-to-Month,Cable,Offer D,Mailed Check,2,1,0,2,4,69.85,0
No,No,Month-to-Month,None,None,Mailed Check,2,0,0,0,1,19.7,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,2,0,3,80.35,1
No,No,Month-to-Month,DSL,Offer D,Credit Card,3,2,3,2,3,50.1,0
Yes,No,Month-to-Month,DSL,Offer D,Mailed Check,2,0,0,1,3,29.75,0
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,2,0,0,3,4,94.55,1
Yes,Yes,Month-to-Month,DSL,Offer D,Bank Withdrawal,2,1,1,2,5,54.2,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,0,2,80.55,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,2,0,0,4,4,74.25,0
No,Yes,Month-to-Month,None,Offer E,Credit Card,2,0,0,0,2,25.0,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,2,4,75.9,0
No,No,Month-to-Month,Cable,Offer E,Mailed Check,3,2,0,0,2,24.2,0
No,Yes,One Year,None,None,Bank Withdrawal,1,1,3,0,1,20.2,0
No,No,Month-to-Month,None,None,Bank Withdrawal,0,0,0,0,1,20.7,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,1,6,94.2,0
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,3,1,2,5,6,106.55,1
Yes,Yes,Two Year,Cable,None,Bank Withdrawal,3,0,0,6,5,60.05,0
No,Yes,Month-to-Month,None,Offer D,Credit Card,2,0,0,2,1,20.05,0
Yes,Yes,One Year,Fiber Optic,None,Credit Card,4,2,1,6,7,110.6,0
No,Yes,Month-to-Month,DSL,None,Credit Card,1,1,3,4,4,50.15,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,3,0,0,2,6,96.9,0
No,No,Month-to-Month,Fiber Optic,Offer D,Credit Card,1,1,2,2,5,90.15,0
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,3,1,2,0,2,23.45,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,0,2,3,6,5,105.5,0
No,No,Month-to-Month,None,Offer E,Credit Card,1,0,0,1,1,19.7,0
No,Yes,Two Year,Fiber Optic,Offer A,Credit Card,3,1,1,6,6,108.6,1
Yes,Yes,Month-to-Month,DSL,Offer C,Credit Card,0,1,3,3,5,58.6,1
No,No,Two Year,None,Offer C,Credit Card,0,3,1,3,1,20.1,0
Yes,No,One Year,DSL,None,Bank Withdrawal,3,1,1,5,5,59.3,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,2,5,79.8,1
No,No,Two Year,DSL,None,Credit Card,2,1,3,6,5,60.3,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,0,6,82.75,0
No,No,Month-to-Month,None,Offer E,Credit Card,4,0,0,0,1,20.05,1
No,Yes,Two Year,DSL,None,Bank Withdrawal,4,0,0,3,4,56.25,0
Yes,No,Month-to-Month,Fiber Optic,None,Credit Card,3,1,0,0,5,80.55,0
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,2,0,2,3,70.2,0
No,Yes,One Year,Fiber Optic,Offer A,Credit Card,2,0,0,6,5,79.05,0
No,No,Month-to-Month,DSL,Offer C,Bank Withdrawal,4,1,1,3,1,36.5,1
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,1,2,1,4,80.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,1,4,74.9,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,1,1,6,6,103.95,1
No,No,One Year,None,Offer B,Credit Card,3,1,3,4,2,25.7,0
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,2,1,1,4,7,66.25,0
No,No,Month-to-Month,Fiber Optic,None,Credit Card,3,1,1,3,4,85.9,0
Yes,No,Two Year,Cable,Offer B,Bank Withdrawal,3,1,1,6,5,37.7,0
Yes,Yes,Two Year,Cable,None,Credit Card,0,1,2,6,6,70.85,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,1,3,4,94.5,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,2,3,4,74.95,0
No,No,Two Year,None,None,Bank Withdrawal,3,0,0,5,1,20.65,0
No,Yes,One Year,None,None,Credit Card,3,0,0,3,1,19.15,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,1,1,6,8,94.2,0
Yes,Yes,Two Year,DSL,None,Credit Card,0,0,0,6,8,86.4,0
No,No,One Year,None,Offer D,Credit Card,1,2,0,1,1,20.45,0
Yes,No,Two Year,Cable,None,Credit Card,3,1,2,6,8,85.75,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,1,0,0,4,5,100.45,0
No,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,4,1,2,6,6,104.45,0
No,No,Two Year,None,None,Credit Card,3,2,2,5,1,20.3,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,3,0,0,3,5,79.0,0
Yes,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,1,3,3,7,109.9,0
No,No,One Year,Fiber Optic,Offer B,Credit Card,1,1,3,5,5,100.35,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,2,5,90.0,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Credit Card,3,3,1,5,6,105.25,0
Yes,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,6,7,90.7,0
No,No,Two Year,None,None,Credit Card,0,3,2,2,1,19.35,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,1,2,3,4,5,101.15,0
No,No,One Year,None,None,Credit Card,2,0,0,4,1,19.55,0
No,Yes,One Year,Fiber Optic,Offer D,Credit Card,4,0,0,2,5,82.65,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,0,0,0,4,4,91.15,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Credit Card,2,1,3,6,6,94.1,0
Yes,Yes,Two Year,Cable,Offer A,Bank Withdrawal,2,3,3,6,7,84.2,0
No,No,Month-to-Month,None,None,Mailed Check,0,0,0,0,1,19.55,1
Yes,No,One Year,Cable,Offer E,Credit Card,1,0,0,1,5,39.55,0
Yes,Yes,Month-to-Month,Cable,None,Credit Card,0,2,2,2,4,34.95,0
Yes,No,Two Year,DSL,Offer A,Bank Withdrawal,1,0,0,6,8,86.65,0
No,No,Two Year,Fiber Optic,None,Bank Withdrawal,2,0,0,3,5,99.45,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,1,3,6,4,94.65,0
No,Yes,One Year,Fiber Optic,None,Credit Card,0,0,0,5,3,94.1,0
No,No,Month-to-Month,None,Offer E,Credit Card,0,0,0,0,1,20.55,0
No,No,Month-to-Month,None,None,Mailed Check,2,1,3,0,1,20.0,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,0,0,4,5,101.1,0
No,Yes,One Year,None,Offer E,Mailed Check,2,0,0,1,1,20.15,0
Yes,Yes,Two Year,DSL,None,Bank Withdrawal,3,3,1,6,8,87.55,0
No,No,Two Year,None,Offer A,Bank Withdrawal,4,1,0,6,2,24.85,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,2,5,100.75,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,4,0,0,2,4,85.8,1
No,Yes,Month-to-Month,DSL,Offer E,Credit Card,2,0,0,0,3,45.85,0
No,No,One Year,None,Offer B,Credit Card,3,0,0,6,2,24.8,0
No,No,One Year,None,Offer C,Credit Card,1,2,1,3,1,19.65,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,0,0,0,0,1,45.25,1
Yes,No,Month-to-Month,DSL,None,Credit Card,3,3,2,0,3,38.55,0
No,Yes,Month-to-Month,DSL,Offer B,Bank Withdrawal,0,0,0,5,2,39.3,1
No,No,Month-to-Month,DSL,Offer B,Credit Card,1,2,3,5,5,65.0,0
No,No,Month-to-Month,None,None,Credit Card,3,0,0,0,1,20.35,0
